Sentence #,Word,POS,Tag
,business,NN,O
,leaders,NNS,O
,.,.,O
272,One,CD,O
,of,IN,O
,the,DT,O
,passengers,NNS,O
,",",",",O
,French,JJ,gpe
,Foreign,NNP,per
,Trade,NNP,per
,Minister,NNP,per
,Anne-Marie,NNP,per
,Idrac,NNP,per
,",",",",O
,called,VBD,O
,it,PRP,O
,a,DT,O
,historic,JJ,O
,day,NN,O
,for,IN,O
,cooperation,NN,O
,between,IN,O
,France,NNP,gpe
,and,CC,O
,Iraq,NNP,gpe
,.,.,O
273,Regular,JJ,O
,service,NN,O
,between,IN,O
,Paris,NNP,geo
,and,CC,O
,Baghdad,NNP,geo
,is,VBZ,O
,not,RB,O
,expected,VBN,O
,to,TO,O
,start,VB,O
,for,IN,O
,at,IN,O
,least,JJS,O
,several,JJ,O
,weeks,NNS,O
,.,.,O
274,Aigle,NNP,org
,Azur,NNP,org
,is,VBZ,O
,just,RB,O
,one,CD,O
,of,IN,O
,a,DT,O
,number,NN,O
,of,IN,O
,airlines,NNS,O
,to,TO,O
,start,VB,O
,flying,VBG,O
,to,TO,O
,Baghdad,NNP,geo
,.,.,O
275,Etihad,NNP,org
,and,CC,O
,Emirates,NNP,org
,airlines,NNS,org
,",",",",O
,both,DT,O
,operating,VBG,O
,out,IN,O
,of,IN,O
,the,DT,O
,United,NNP,geo
,Arab,NNP,geo
,Emirates,NNPS,geo
,",",",",O
,started,VBD,O
,flying,VBG,O
,to,TO,O
,Baghdad,NNP,geo
,earlier,RBR,O
,this,DT,O
,year,NN,O
,.,.,O
276,A,DT,O
,new,JJ,O
,government,NN,O
,report,NN,O
,shows,VBZ,O
,U.S.,NNP,gpe
,businesses,NNS,O
,added,VBD,O
,a,DT,O
,moderate,JJ,O
,"1,11,000",CD,O
,new,JJ,O
,jobs,NNS,O
,in,IN,O
,January,NNP,tim
,.,.,O
277,The,DT,O
,Labor,NNP,org
,Department,NNP,org
,Friday,NNP,tim
,issued,VBD,O
,a,DT,O
,report,NN,O
,that,WDT,O
,also,RB,O
,showed,VBD,O
,the,DT,O
,U.S.,NNP,gpe
,unemployment,NN,O
,rate,NN,O
,increased,VBD,O
,for,IN,O
,the,DT,O
,first,JJ,O
,time,NN,O
,in,IN,O
,three,CD,O
,months,NNS,O
,-,IN,O
,to,IN,O
,4.6,CD,O
,percent,NN,O
,.,.,O
278,According,VBG,O
,to,TO,O
,the,DT,O
,report,NN,O
,",",",",O
,American,JJ,gpe
,workers,NNS,O
,earned,VBD,O
,an,DT,O
,average,NN,O
,of,IN,O
,$,$,O
,17.09,CD,O
,an,DT,O
,hour,NN,O
,in,IN,O
,January,NNP,tim
,-,IN,O
,a,DT,O
,slight,JJ,O
,increase,NN,O
,from,IN,O
,the,DT,O
,previous,JJ,O
,month,NN,O
,.,.,O
279,Analysts,NNS,O
,say,VBP,O
,the,DT,O
,Department,NNP,org
,of,IN,org
,Labor,NNP,org
,report,NN,O
,will,MD,O
,help,VB,O
,ease,VB,O
,worries,NNS,O
,that,IN,O
,a,DT,O
,tight,JJ,O
,labor,NN,O
,market,NN,O
,will,MD,O
,significantly,RB,O
,inflate,VB,O
,wages,NNS,O
,and,CC,O
,costs,NNS,O
,.,.,O
280,Earlier,RBR,O
,this,DT,O
,week,NN,O
,",",",",O
,the,DT,O
,U.S.,NNP,gpe
,central,JJ,O
,bank,NN,O
,decided,VBD,O
,to,TO,O
,maintain,VB,O
,a,DT,O
,key,JJ,O
,interest,NN,O
,rate,NN,O
,",",",",O
,despite,IN,O
,the,DT,O
,risk,NN,O
,of,IN,O
,inflation,NN,O
,.,.,O
281,Venezuelan,JJ,gpe
,President,NNP,per
,Hugo,NNP,per
,Chavez,NNP,per
,has,VBZ,O
,denounced,VBN,O
,Colombia,NNP,gpe
,'s,POS,O
,defense,NN,O
,minister,NN,O
,as,IN,O
,an,DT,O
,obstacle,NN,O
,to,TO,O
,peace,NN,O
,and,CC,O
,a,DT,O
,pawn,NN,O
,of,IN,O
,the,DT,O
,United,NNP,gpe
,States,NNPS,gpe
,.,.,O
282,Mr.,NNP,per
,Chavez,NNP,per
,reacted,VBD,O
,sharply,RB,O
,Sunday,NNP,tim
,to,TO,O
,the,DT,O
,defense,NN,O
,minister,NN,O
,'s,POS,O
,remarks,NNS,O
,about,IN,O
,a,DT,O
,meeting,NN,O
,between,IN,O
,Mr.,NNP,per
,Chavez,NNP,per
,and,CC,O
,Colombian,JJ,gpe
,President,NNP,per
,Alvaro,NNP,per
,Uribe,NNP,per
,.,.,O
283,The,DT,O
,two,CD,O
,presidents,NNS,O
,met,VBD,O
,Friday,NNP,tim
,to,TO,O
,try,VB,O
,to,TO,O
,mend,VB,O
,ties,NNS,O
,between,IN,O
,their,PRP$,O
,countries,NNS,O
,.,.,O
284,After,IN,O
,the,DT,O
,meeting,NN,O
,",",",",O
,Colombian,JJ,gpe
,Defense,NNP,per
,Minister,NNP,per
,Juan,NNP,per
,Manuel,NNP,per
,Santos,NNP,per
,said,VBD,O
,he,PRP,O
,hoped,VBD,O
,Venezuela,NNP,gpe
,would,MD,O
,follow,VB,O
,through,IN,O
,with,IN,O
,promises,NNS,O
,made,VBN,O
,during,IN,O
,the,DT,O
,meeting,NN,O
,.,.,O
285,During,IN,O
,a,DT,O
,televised,JJ,O
,speech,NN,O
,Sunday,NNP,tim
,",",",",O
,Mr.,NNP,per
,Chavez,NNP,per
,called,VBD,O
,on,IN,O
,President,NNP,per
,Uribe,NNP,per
,to,TO,O
,put,VB,O
,his,PRP$,O
,defense,NN,O
,minister,NN,O
,in,IN,O
,his,PRP$,O
,place,NN,O
,.,.,O
286,Tensions,NNS,O
,between,IN,O
,the,DT,O
,two,CD,O
,countries,NNS,O
,rose,VBD,O
,in,IN,O
,March,NNP,tim
,when,WRB,O
,Colombia,NNP,gpe
,attacked,VBD,O
,a,DT,O
,rebel,NN,O
,camp,NN,O
,in,IN,O
,Ecuador,NNP,geo
,.,.,O
287,Venezuela,NNP,gpe
,responded,VBD,O
,by,IN,O
,sending,VBG,O
,troops,NNS,O
,to,TO,O
,the,DT,O
,Colombian,JJ,gpe
,border,NN,O
,.,.,O
288,China,NNP,gpe
,has,VBZ,O
,lashed,VBN,O
,out,RP,O
,at,IN,O
,a,DT,O
,U.S.,NNP,gpe
,report,NN,O
,critical,JJ,O
,of,IN,O
,Chinese,JJ,gpe
,policies,NNS,O
,on,IN,O
,religious,JJ,O
,freedom,NN,O
,",",",",O
,saying,VBG,O
,such,JJ,O
,criticism,NN,O
,could,MD,O
,harm,VB,O
,U.S.,NNP,gpe
,-,IN,O
,China,NNP,gpe
,relations,NNS,O
,.,.,O
289,In,IN,O
,its,PRP$,O
,annual,JJ,O
,report,NN,O
,issued,VBN,O
,Wednesday,NNP,tim
,",",",",O
,the,DT,O
,U.S.,NNP,org
,Commission,NNP,org
,on,IN,org
,International,NNP,org
,Religious,NNP,org
,Freedom,NNP,org
,said,VBD,O
,China,NNP,gpe
,continues,VBZ,O
,to,TO,O
,be,VB,O
,responsible,JJ,O
,for,IN,O
,pervasive,JJ,O
,and,CC,O
,severe,JJ,O
,violations,NNS,O
,of,IN,O
,religious,JJ,O
,freedom,NN,O
,",",",",O
,regularly,RB,O
,imprisoning,VBG,O
,and,CC,O
,harassing,VBG,O
,religious,JJ,O
,leaders,NNS,O
,and,CC,O
,practitioners,NNS,O
,.,.,O
290,In,IN,O
,a,DT,O
,statement,NN,O
,Saturday,NNP,tim
,Chinese,JJ,gpe
,Foreign,NNP,org
,Ministry,NNP,org
,spokesman,NN,O
,Liu,NNP,per
,Jianchao,NNP,per
,accused,VBD,O
,the,DT,O
,U.S.,NNP,gpe
,body,NN,O
,of,IN,O
,attempting,VBG,O
,to,TO,O
,interfere,VB,O
,with,IN,O
,Chinese,JJ,gpe
,internal,JJ,O
,affairs,NNS,O
,under,IN,O
,the,DT,O
,guise,NN,O
,of,IN,O
,religious,JJ,O
,freedom,NN,O
,.,.,O
291,He,PRP,O
,said,VBD,O
,such,JJ,O
,criticism,NN,O
,runs,VBZ,O
,counter,NN,O
,to,TO,O
,the,DT,O
,good,JJ,O
,development,NN,O
,of,IN,O
,U.S,NNP,gpe
,-,IN,O
,China,NNP,gpe
,relations,NNS,O
,.,.,O
292,Liu,NNP,per
,said,VBD,O
,China,NNP,gpe
,protects,VBZ,O
,the,DT,O
,religious,JJ,O
,freedom,NN,O
,of,IN,O
,Chinese,JJ,gpe
,citizens,NNS,O
,according,VBG,O
,to,TO,O
,law,NN,O
,",",",",O
,and,CC,O
,that,IN,O
,citizens,NNS,O
,enjoy,VBP,O
,full,JJ,O
,freedom,NN,O
,of,IN,O
,religion,NN,O
,.,.,O
293,China,NNP,gpe
,'s,POS,O
,communist,JJ,O
,government,NN,O
,allows,VBZ,O
,worship,NN,O
,only,RB,O
,in,IN,O
,state-approved,JJ,O
,and,CC,O
,state-monitored,JJ,O
,churches,NNS,O
,",",",",O
,temples,NNS,O
,and,CC,O
,mosques,NNS,O
,.,.,O
294,People,NNS,O
,who,WP,O
,worship,VBP,O
,in,IN,O
,unauthorized,JJ,O
,ways,NNS,O
,are,VBP,O
,subject,JJ,O
,to,TO,O
,arrest,NN,O
,.,.,O
295,President,NNP,per
,Bush,NNP,per
,has,VBZ,O
,issued,VBN,O
,14,CD,O
,pardons,NNS,O
,to,TO,O
,convicted,VBN,O
,criminals,NNS,O
,",",",",O
,and,CC,O
,has,VBZ,O
,commuted,VBN,O
,the,DT,O
,prison,NN,O
,sentences,NNS,O
,of,IN,O
,two,CD,O
,others,NNS,O
,.,.,O
296,The,DT,O
,pardons,NNS,O
,",",",",O
,announced,VBN,O
,Monday,NNP,tim
,",",",",O
,include,VBP,O
,no,DT,O
,high-profile,JJ,O
,names,NNS,O
,.,.,O
297,They,PRP,O
,were,VBD,O
,for,IN,O
,people,NNS,O
,convicted,VBN,O
,of,IN,O
,such,JJ,O
,acts,NNS,O
,as,IN,O
,bank,NN,O
,embezzlement,NN,O
,",",",",O
,making,VBG,O
,FALSE,JJ,O
,statements,NNS,O
,to,TO,O
,the,DT,O
,federal,JJ,O
,government,NN,O
,",",",",O
,unlawfully,RB,O
,killing,VBG,O
,wildlife,NN,O
,",",",",O
,and,CC,O
,committing,VBG,O
,drug,NN,O
,offenses,NNS,O
,.,.,O
298,Including,IN,O
,Monday,NNP,tim
,'s,POS,O
,actions,NNS,O
,",",",",O
,Mr.,NNP,per
,Bush,NNP,per
,has,VBZ,O
,granted,VBN,O
,171,CD,O
,pardons,NNS,O
,and,CC,O
,commuted,VBN,O
,eight,CD,O
,sentences,NNS,O
,while,IN,O
,U.S.,NNP,gpe
,president,NN,O
,.,.,O
299,Pardons,NNS,O
,are,VBP,O
,one,CD,O
,of,IN,O
,the,DT,O
,president,NN,O
,'s,POS,O
,absolute,JJ,O
,powers,NNS,O
,",",",",O
,and,CC,O
,in,IN,O
,recent,JJ,O
,years,NNS,O
,it,PRP,O
,has,VBZ,O
,become,VBN,O
,typical,JJ,O
,for,IN,O
,the,DT,O
,president,NN,O
,to,TO,O
,issue,VB,O
,pardons,NNS,O
,as,IN,O
,he,PRP,O
,prepares,VBZ,O
,to,TO,O
,leave,VB,O
,office,NN,O
,.,.,O
300,White,NNP,org
,House,NNP,org
,officials,NNS,O
,say,VBP,O
,he,PRP,O
,made,VBD,O
,the,DT,O
,pardon,NN,O
,decisions,NNS,O
,on,IN,O
,a,DT,O
,case-by-case,JJ,O
,basis,NN,O
,",",",",O
,and,CC,O
,will,MD,O
,continue,VB,O
,to,TO,O
,review,VB,O
,clemency,NN,O
,requests,NNS,O
,.,.,O
301,Uganda,NNP,gpe
,'s,POS,O
,government,NN,O
,and,CC,O
,rebels,NNS,O
,of,IN,O
,the,DT,O
,Lord,NNP,org
,'s,POS,org
,Resistance,NN,org
,Army,NNP,org
,are,VBP,O
,nearing,VBG,O
,a,DT,O
,peace,NN,O
,deal,NN,O
,to,TO,O
,end,VB,O
,more,JJR,O
,than,IN,O
,20,CD,O
,years,NNS,O
,of,IN,O
,conflict,NN,O
,.,.,O
302,Officials,NNS,O
,close,RB,O
,to,TO,O
,the,DT,O
,negotiations,NNS,O
,say,VBP,O
,an,DT,O
,accord,NN,O
,signed,VBN,O
,Friday,NNP,tim
,provides,VBZ,O
,for,IN,O
,the,DT,O
,disarmament,NN,O
,and,CC,O
,demobilization,NN,O
,of,IN,O
,the,DT,O
,LRA,NNP,org
,.,.,O
303,The,DT,O
,two,CD,O
,sides,NNS,O
,signed,VBD,O
,a,DT,O
,permanent,JJ,O
,cease-fire,NN,O
,agreement,NN,O
,last,JJ,O
,Saturday,NNP,tim
,during,IN,O
,peace,NN,O
,talks,NNS,O
,in,IN,O
,Sudan,NNP,geo
,.,.,O
304,However,RB,O
,",",",",O
,there,EX,O
,is,VBZ,O
,still,RB,O
,uncertainty,NN,O
,the,DT,O
,rebels,NNS,O
,will,MD,O
,sign,VB,O
,the,DT,O
,final,JJ,O
,peace,NN,O
,deal,NN,O
,until,IN,O
,rebel,NN,O
,leader,NN,O
,Joseph,NNP,per
,Kony,NNP,per
,is,VBZ,O
,granted,VBN,O
,immunity,NN,O
,from,IN,O
,international,JJ,O
,prosecution,NN,O
,.,.,O
305,Kony,NNP,per
,is,VBZ,O
,one,CD,O
,of,IN,O
,five,CD,O
,LRA,NNP,org
,officials,NNS,O
,sought,VBN,O
,by,IN,O
,the,DT,O
,International,NNP,org
,Criminal,NNP,org
,Court,NNP,org
,for,IN,O
,alleged,JJ,O
,war,NN,O
,crimes,NNS,O
,.,.,O
306,LRA,NNP,org
,fighters,NNS,O
,are,VBP,O
,accused,VBN,O
,of,IN,O
,murdering,VBG,O
,thousands,NNS,O
,of,IN,O
,civilians,NNS,O
,and,CC,O
,raping,VBG,O
,and,CC,O
,mutilating,VBG,O
,others,NNS,O
,during,IN,O
,the,DT,O
,long,JJ,O
,insurgency,NN,O
,in,IN,O
,northern,JJ,O
,Uganda,NNP,geo
,.,.,O
307,World,NN,O
,number,NN,O
,one,CD,O
,men,NNS,O
,'s,POS,O
,tennis,NN,O
,player,NN,O
,Roger,NNP,per
,Federer,NNP,per
,has,VBZ,O
,been,VBN,O
,nearly,RB,O
,unbeatable,JJ,O
,in,IN,O
,the,DT,O
,past,JJ,O
,year,NN,O
,.,.,O
308,But,CC,O
,his,PRP$,O
,warmup,NN,O
,for,IN,O
,the,DT,O
,Australian,NNP,eve
,Open,NNP,eve
,has,VBZ,O
,abruptly,RB,O
,ended,VBN,O
,with,IN,O
,a,DT,O
,rare,JJ,O
,loss,NN,O
,.,.,O
309,The,DT,O
,Swiss,JJ,gpe
,star,NN,O
,was,VBD,O
,upset,VBN,O
,Wednesday,NNP,tim
,by,IN,O
,German,JJ,gpe
,Tommy,NNP,per
,Haas,NNP,per
,in,IN,O
,the,DT,O
,opening,NN,O
,match,NN,O
,of,IN,O
,the,DT,O
,Kooyong,NNP,eve
,Classic,NNP,eve
,in,IN,O
,Melbourne,NNP,geo
,.,.,O
310,Because,IN,O
,he,PRP,O
,was,VBD,O
,playing,VBG,O
,in,IN,O
,exhibition,NN,O
,tournament,NN,O
,",",",",O
,the,DT,O
,loss,NN,O
,will,MD,O
,not,RB,O
,count,VB,O
,on,IN,O
,his,PRP$,O
,Association,NN,art
,of,IN,art
,Tennis,NNP,art
,Professionals,NNPS,art
,Tour,NNP,art
,record,NN,O
,.,.,O
311,The,DT,O
,41st,CD,O
,ranked,VBN,O
,Haas,NNP,per
,fended,VBD,O
,off,RP,O
,three,CD,O
,break,NN,O
,points,NNS,O
,while,IN,O
,serving,VBG,O
,for,IN,O
,the,DT,O
,match,NN,O
,and,CC,O
,closed,VBD,O
,a,DT,O
,03-Jun,CD,O
,",",",",O
,06-Apr,CD,O
,",",",",O
,06-Apr,CD,O
,win,NN,O
,with,IN,O
,an,DT,O
,ace,NN,O
,.,.,O
312,Federer,NNP,per
,said,VBD,O
,he,PRP,O
,is,VBZ,O
,completely,RB,O
,healthy,JJ,O
,and,CC,O
,has,VBZ,O
,no,DT,O
,concerns,NNS,O
,that,IN,O
,the,DT,O
,ankle,NN,O
,problem,NN,O
,that,WDT,O
,curtailed,VBD,O
,his,PRP$,O
,last,JJ,O
,season,NN,O
,would,MD,O
,flare,VB,O
,up,RP,O
,before,IN,O
,the,DT,O
,Australian,NNP,eve
,Open,NNP,eve
,",",",",O
,which,WDT,O
,starts,VBZ,O
,Monday,NNP,tim
,.,.,O
313,The,DT,O
,European,NNP,org
,Space,NNP,org
,Agency,NNP,org
,says,VBZ,O
,it,PRP,O
,has,VBZ,O
,received,VBN,O
,the,DT,O
,first,JJ,O
,images,NNS,O
,and,CC,O
,scientific,JJ,O
,readings,NNS,O
,from,IN,O
,the,DT,O
,surface,NN,O
,of,IN,O
,Saturn,NNP,geo
,'s,POS,O
,moon,NN,O
,Titan,NNP,geo
,.,.,O
314,Officials,NNS,O
,at,IN,O
,agency,NN,O
,headquarters,NN,O
,in,IN,O
,Germany,NNP,geo
,Friday,NNP,tim
,say,VBP,O
,information,NN,O
,taken,VBN,O
,from,IN,O
,the,DT,O
,Huygens,NNP,art
,space,NN,O
,probe,NN,O
,show,VBP,O
,what,WP,O
,looks,VBZ,O
,like,IN,O
,drainage,NN,O
,channels,NNS,O
,on,IN,O
,the,DT,O
,moon,NN,O
,.,.,O
315,They,PRP,O
,say,VBP,O
,the,DT,O
,surface,NN,O
,has,VBZ,O
,canyons,NNS,O
,that,WDT,O
,were,VBD,O
,most,RBS,O
,likely,JJ,O
,caused,VBN,O
,by,IN,O
,some,DT,O
,type,NN,O
,of,IN,O
,liquid,NN,O
,.,.,O
316,The,DT,O
,space,NN,O
,probe,NN,O
,began,VBD,O
,transmitting,VBG,O
,data,NNS,O
,to,TO,O
,the,DT,O
,Cassini,NNP,art
,spacecraft,NN,O
,while,IN,O
,landing,VBG,O
,on,IN,O
,Saturn,NNP,geo
,'s,POS,O
,largest,JJS,O
,moon,NN,O
,earlier,RB,O
,Friday,NNP,tim
,.,.,O
317,Scientists,NNS,O
,say,VBP,O
,the,DT,O
,information,NN,O
,from,IN,O
,Huygens,NNP,art
,-,:,O
,operated,VBN,O
,jointly,RB,O
,by,IN,O
,the,DT,O
,American,JJ,gpe
,",",",",O
,European,JJ,geo
,and,CC,O
,Italian,JJ,gpe
,space,NN,O
,agencies,NNS,O
,-,:,O
,may,MD,O
,provide,VB,O
,clues,NNS,O
,about,IN,O
,how,WRB,O
,primitive,JJ,O
,Earth,NNP,geo
,evolved,VBD,O
,into,IN,O
,a,DT,O
,life-bearing,JJ,O
,planet,NN,O
,.,.,O
318,Ugandan,JJ,gpe
,opposition,NN,O
,leader,NN,O
,Kizza,NNP,per
,Besigye,NNP,per
,has,VBZ,O
,been,VBN,O
,released,VBN,O
,on,IN,O
,bail,NN,O
,",",",",O
,after,IN,O
,a,DT,O
,judge,NN,O
,ruled,VBD,O
,his,PRP$,O
,detention,NN,O
,by,IN,O
,the,DT,O
,military,NN,O
,was,VBD,O
,illegal,JJ,O
,.,.,O
319,Police,NNS,O
,fired,VBD,O
,tear,JJ,O
,gas,NN,O
,to,TO,O
,disperse,VB,O
,hundreds,NNS,O
,of,IN,O
,Dr.,NNP,per
,Besigye,NNP,per
,'s,POS,O
,supporters,NNS,O
,who,WP,O
,took,VBD,O
,to,TO,O
,the,DT,O
,streets,NNS,O
,in,IN,O
,Kampala,NNP,geo
,after,IN,O
,his,PRP$,O
,release,NN,O
,Monday,NNP,tim
,.,.,O
320,Uganda,NNP,gpe
,'s,POS,O
,military,NN,O
,had,VBD,O
,detained,VBN,O
,Dr.,NNP,per
,Besigye,NNP,per
,since,IN,O
,November,NNP,tim
,",",",",O
,when,WRB,O
,he,PRP,O
,returned,VBD,O
,from,IN,O
,self-imposed,JJ,O
,exile,NN,O
,to,TO,O
,run,VB,O
,against,IN,O
,President,NNP,per
,Yoweri,NNP,per
,Museveni,NNP,per
,in,IN,O
,next,JJ,O
,month,NN,O
,'s,POS,O
,presidential,JJ,O
,election,NN,O
,.,.,O
321,A,DT,O
,military,JJ,O
,tribunal,NN,O
,has,VBZ,O
,charged,VBN,O
,Dr.,NNP,per
,Besigye,NNP,per
,with,IN,O
,terrorism,NN,O
,and,CC,O
,possessing,VBG,O
,illegal,JJ,O
,weapons,NNS,O
,.,.,O
322,But,CC,O
,a,DT,O
,Ugandan,JJ,gpe
,High,NNP,org
,Court,NNP,org
,Judge,NN,O
,",",",",O
,John,NNP,per
,Bosco,NNP,per
,Katutsi,NNP,per
,",",",",O
,said,VBD,O
,his,PRP$,O
,detention,NN,O
,was,VBD,O
,illegal,JJ,O
,because,IN,O
,the,DT,O
,High,NNP,org
,Court,NNP,org
,had,VBD,O
,suspended,VBN,O
,the,DT,O
,military,JJ,O
,trial,NN,O
,.,.,O
323,Dr.,NNP,per
,Besigye,NNP,per
,still,RB,O
,faces,VBZ,O
,rape,NN,O
,charges,NNS,O
,",",",",O
,for,IN,O
,which,WDT,O
,a,DT,O
,civilian,JJ,O
,trial,NN,O
,began,VBD,O
,Monday,NNP,tim
,.,.,O
324,He,PRP,O
,has,VBZ,O
,denied,VBN,O
,all,PDT,O
,the,DT,O
,charges,NNS,O
,",",",",O
,which,WDT,O
,supporters,NNS,O
,say,VBP,O
,were,VBD,O
,trumped,VBN,O
,up,RP,O
,to,TO,O
,keep,VB,O
,him,PRP,O
,from,IN,O
,running,VBG,O
,for,IN,O
,president,NN,O
,.,.,O
325,U.S.,NNP,gpe
,President,NNP,per
,Barack,NNP,per
,Obama,NNP,per
,says,VBZ,O
,improvements,NNS,O
,in,IN,O
,the,DT,O
,American,JJ,gpe
,health,NN,O
,care,NN,O
,system,NN,O
,are,VBP,O
,inevitable,JJ,O
,.,.,O
326,Mr.,NNP,per
,Obama,NNP,per
,made,VBD,O
,his,PRP$,O
,comments,NNS,O
,in,IN,O
,the,DT,O
,White,NNP,art
,House,NNP,art
,Rose,NNP,art
,Garden,NNP,art
,Monday,NNP,tim
,as,IN,O
,he,PRP,O
,nominated,VBD,O
,an,DT,O
,African-American,JJ,gpe
,woman,NN,O
,",",",",O
,Regina,NNP,per
,Benjamin,NNP,per
,",",",",O
,to,TO,O
,become,VB,O
,the,DT,O
,U.S.,NNP,gpe
,Surgeon,NNP,per
,General,NNP,per
,.,.,O
327,The,DT,O
,president,NN,O
,said,VBD,O
,"""",``,O
,naysayers,NNS,O
,and,CC,O
,cynics,NNS,O
,"""",``,O
,should,MD,O
,not,RB,O
,bet,VB,O
,against,IN,O
,the,DT,O
,passage,NN,O
,of,IN,O
,health,NN,O
,insurance,NN,O
,legislation,NN,O
,.,.,O
328,He,PRP,O
,also,RB,O
,said,VBD,O
,inaction,NN,O
,on,IN,O
,the,DT,O
,issue,NN,O
,is,VBZ,O
,not,RB,O
,an,DT,O
,option,NN,O
,.,.,O
329,Mr.,NNP,per
,Obama,NNP,per
,has,VBZ,O
,vowed,VBN,O
,to,TO,O
,sign,VB,O
,a,DT,O
,health,NN,O
,care,NN,O
,bill,NN,O
,into,IN,O
,law,NN,O
,this,DT,O
,year,NN,O
,.,.,O
330,Democrats,NNS,org
,in,IN,O
,the,DT,O
,House,NNP,org
,of,IN,org
,Representatives,NNPS,org
,say,VBP,O
,they,PRP,O
,are,VBP,O
,nearly,RB,O
,ready,JJ,O
,to,TO,O
,unveil,VB,O
,their,PRP$,O
,health,NN,O
,care,NN,O
,reform,NN,O
,plan,NN,O
,.,.,O
331,Controversy,NN,O
,over,IN,O
,extending,VBG,O
,health,NN,O
,coverage,NN,O
,to,TO,O
,uninsured,JJ,O
,Americans,NNS,gpe
,centers,VBZ,O
,on,IN,O
,how,WRB,O
,to,TO,O
,pay,VB,O
,for,IN,O
,it,PRP,O
,.,.,O
332,It,PRP,O
,is,VBZ,O
,expected,VBN,O
,to,TO,O
,cost,VB,O
,$,$,O
,1,CD,O
,trillion,CD,O
,over,IN,O
,10,CD,O
,years,NNS,O
,.,.,O
333,World,NNP,org
,Bank,NNP,org
,member,NN,O
,nations,NNS,O
,meeting,VBG,O
,in,IN,O
,Washington,NNP,geo
,have,VBP,O
,approved,VBN,O
,a,DT,O
,debt,NN,O
,relief,NN,O
,plan,NN,O
,for,IN,O
,17,CD,O
,African,JJ,gpe
,and,CC,O
,Latin,JJ,gpe
,American,JJ,gpe
,countries,NNS,O
,that,WDT,O
,could,MD,O
,total,VB,O
,$,$,O
,37,CD,O
,billion,CD,O
,over,IN,O
,40,CD,O
,years,NNS,O
,.,.,O
334,World,NNP,org
,Bank,NNP,org
,President,NNP,per
,Paul,NNP,per
,Wolfowitz,NNP,per
,said,VBD,O
,two-thirds,NNS,O
,of,IN,O
,the,DT,O
,bank,NN,O
,members,NNS,O
,have,VBP,O
,now,RB,O
,approved,VBN,O
,the,DT,O
,plan,NN,O
,",",",",O
,meaning,VBG,O
,the,DT,O
,bank,NN,O
,could,MD,O
,start,VB,O
,forgiving,VBG,O
,debts,NNS,O
,in,IN,O
,July,NNP,tim
,.,.,O
335,The,DT,O
,move,NN,O
,follows,VBZ,O
,July,NNP,tim
,'s,POS,O
,pledge,NN,O
,from,IN,O
,the,DT,O
,wealthy,JJ,O
,G-8,NNP,org
,countries,NNS,O
,to,TO,O
,cancel,VB,O
,the,DT,O
,debt,NN,O
,of,IN,O
,the,DT,O
,world,NN,O
,'s,POS,O
,poorest,JJS,O
,countries,NNS,O
,",",",",O
,many,NN,O
,of,IN,O
,which,WDT,O
,are,VBP,O
,located,VBN,O
,in,IN,O
,Africa,NNP,geo
,.,.,O
336,The,DT,O
,17,CD,O
,countries,NNS,O
,now,RB,O
,eligible,JJ,O
,for,IN,O
,World,NNP,org
,Bank,NNP,org
,debt,NN,O
,relief,NN,O
,are,VBP,O
,Benin,NNP,gpe
,",",",",O
,Bolivia,NNP,gpe
,",",",",O
,Burkina,NNP,gpe
,Faso,NNP,gpe
,",",",",O
,Ethiopia,NNP,gpe
,",",",",O
,Ghana,NNP,gpe
,",",",",O
,Guyana,NNP,gpe
,",",",",O
,Honduras,NNP,gpe
,",",",",O
,Madagascar,NNP,gpe
,",",",",O
,Mali,NNP,gpe
,",",",",O
,Mozambique,NNP,gpe
,",",",",O
,Nicaragua,NNP,gpe
,",",",",O
,Niger,NNP,gpe
,",",",",O
,Rwanda,NNP,gpe
,",",",",O
,Senegal,NNP,gpe
,",",",",O
,Tanzania,NNP,gpe
,",",",",O
,Uganda,NNP,gpe
,and,CC,O
,Zambia,NNP,gpe
,.,.,O
337,Iran,NNP,gpe
,has,VBZ,O
,closed,VBN,O
,government,NN,O
,offices,NNS,O
,and,CC,O
,schools,NNS,O
,in,IN,O
,Tehran,NNP,geo
,for,IN,O
,two,CD,O
,days,NNS,O
,because,IN,O
,of,IN,O
,wind-blown,JJ,O
,dust,NN,O
,that,WDT,O
,has,VBZ,O
,polluted,VBN,O
,the,DT,O
,capital,NN,O
,.,.,O
338,Government,NN,O
,authorities,NNS,O
,have,VBP,O
,declared,VBN,O
,Tuesday,NNP,tim
,and,CC,O
,Wednesday,NNP,tim
,a,DT,O
,public,JJ,O
,holiday,NN,O
,",",",",O
,and,CC,O
,Iranian,JJ,gpe
,media,NNS,O
,say,VBP,O
,many,JJ,O
,domestic,JJ,O
,airline,NN,O
,flights,NNS,O
,have,VBP,O
,been,VBN,O
,canceled,VBN,O
,.,.,O
339,Medical,JJ,O
,authorities,NNS,O
,are,VBP,O
,advising,VBG,O
,people,NNS,O
,with,IN,O
,heart,NN,O
,and,CC,O
,respiratory,JJ,O
,problems,NNS,O
,to,TO,O
,stay,VB,O
,inside,RB,O
,.,.,O
340,Iran,NNP,gpe
,'s,POS,O
,Press,NNP,org
,TV,NNP,org
,says,VBZ,O
